reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOG0gjcxG1DF3dRt4TqpvNrGB1FYwkrQRL_TmoHqcXdyUOi19ImfFj4LLE5JrMkduifxa4G5dAhZ5Syy8Q,Mahdi Muhammad,Oh,1,0,17.6.41,10/2/2020 0:12,,,com.zhiliaoapp.musically
gp:AOqpTOF6oe7RRmfCna-woB8x76pQMD8abSxfA9Ti_ZVjwg6nyqZtuSKPiDMBogaSK1tWyUZi-PsRmc94eT-rQg,faadumo abdulqaadir,TikT,1,0,,10/1/2020 23:52,,,com.zhiliaoapp.musically
gp:AOqpTOEO63hmIvgP9P5Gn4ANKwcNMBPePcKOpjCDRTNkSgwCo3LaOrYS5fJcjIEc0CrU5PZc7F220p7Ice_5_w,Carlos Salmeron,ðŸ¤¡,1,0,17.6.3,10/1/2020 23:49,,,com.zhiliaoapp.musically
gp:AOqpTOE9eD9tQast9-QpGxr7JhYJbh2Bp29X0QWzwGK1OizKHVNQHDwSm-btSFpwJSpOjXlUc5jGmQamvofF7A,Meisam Omidvari,No Network!,1,0,17.6.41,10/1/2020 23:47,,,com.zhiliaoapp.musically
gp:AOqpTOGiSrkBEvIEm8YLTPsma3B-84tkEHUAA88f2LYMECJQofcg5dXriVpP8J9u_Q_Tglo4XPeQRtLO5h-tew,PUGE group,It's a terrible this is ruin my life duck tiktok,1,0,17.6.41,10/1/2020 23:44,,,com.zhiliaoapp.musically
gp:AOqpTOGlUF7rcxCmGC08KKSvcBw2FOe8GaPqEi1pWFmYgFzFADB_mCY6Io7M0hKGnIk-MHjUitLV-LglkmbIjA,Zoha B,It doesn't work in my country (iran),1,0,,10/1/2020 23:41,,,com.zhiliaoapp.musically
gp:AOqpTOGVtyjBwHoeQ2aGlON6mr5SVJ-N0K4w8-nMJhwuctj7RnoakmkYHdxlrW46bvCQmh_yzIYavosxVVVTtg,Sue Dinonle,til tok suck pp,1,0,17.6.41,10/1/2020 23:37,,,com.zhiliaoapp.musically
gp:AOqpTOGX5N8eZYT_E_3kHDk5CxglMjf3emp-2vGEeG4DcQGQc5BaARSfpswNoOVQSxLleIQhhVg6-bu9XdEnTA,edwin alberto,pp,1,0,,10/1/2020 23:33,,,com.zhiliaoapp.musically
gp:AOqpTOFzbaepHmA0twGNucC9AfAR1ic93F12tI1J2n_8KIqtL2hg58NgrIswdBemw1XA1hCAN-RJmt5Akvc5GQ,random person,Bad tik tok bad tik tok bad tik tok,1,0,,10/1/2020 23:33,,,com.zhiliaoapp.musically
gp:AOqpTOF3nbaRYG9PVuEgFnGikLruHdtcJ0P3u_3Sqi0UyZMhG2LykjIQvyMlx6t39haeiwfqPczGTtp_11QnAw,BeastMaster64,It's a spyware.,1,1,,10/1/2020 23:33,,,com.zhiliaoapp.musically
gp:AOqpTOF5-e8xIjvqNnIDROKuL6Lt9qTuY-d6zhMfdBzXtqU5pJHBskjyMaSxCvehL5day_UF2fdI-4bFkbl5yw,sheerbabbar 03234186873,Plz verify my account,1,0,16.6.4,10/1/2020 23:30,,,com.zhiliaoapp.musically
gp:AOqpTOE406BOpgK9sNmwIrN5omDotBTmXdjw_nY76ll5LNINopdHGNvA_GYzEefqpliPDGw40dvcHhnjPVIcqA,Edwin Noguet,Trash ðŸ—‘ï¸,1,0,,10/1/2020 23:28,,,com.zhiliaoapp.musically
gp:AOqpTOFUC4l4sAP491j15uWrfmaNLeYWXaMc-6dVDwNEYFEUvJX3vpyYoWBFvH5UPMapgvKcVkUk9QlpF2tWlQ,Rosi G,Why do you keep removing the duet layout feature?????,1,0,17.6.41,10/1/2020 23:19,,,com.zhiliaoapp.musically
gp:AOqpTOFrldG-CXCp9IJF9xyw31Z2NqNx1PsZkKhhXP-700PM_PHv3G2V8lpQrgXaWb6Tr735Cm5lPvQhWqEs8w,Hadayat Ullah Hadayatullah,I like it this is a great app for watching funny video,1,0,17.6.41,10/1/2020 23:17,,,com.zhiliaoapp.musically
gp:AOqpTOF_SWIRp4Uin1JC5VFr0hfbiAkBgTAd1kGNZDdTrO3Z7u7rWh49ma-VMoVuSxXKQY01Tf-fISZKsyKrpg,Lman WELL !!,Ok why did y'all take away the different duet styles and voice over from me I had them and now they are gone I'm so mad right now I can't do have of my duets now because of that quit updating this app and missing stuff up fix this please,1,9,17.6.41,10/1/2020 23:08,,,com.zhiliaoapp.musically
gp:AOqpTOFs0OVs47aPqJNP3VvnM6V7jxSfA_03E91C3LktDl6DKE0GabnKJq3iQoDSW0GoAiO08rp-iHT2wuyadg,Phantix,Absolutely terrible crashes half if the time and half of the stuff on here is just porn,1,0,,10/1/2020 23:06,,,com.zhiliaoapp.musically
gp:AOqpTOEZ7FYw44Qyk470v1UOEVLW6ac40KVVWiyrB911gKsYFLZ3iBxx5FxQpInrFJC6CQPsObBlMzkO3JCJSA,Kay Kay,TikTok is VERY prejudice when it comes to people of color. Black people's video's get flagged and deleted but when non black people do the exact same content their videos don't get touched. I've also noticed non black people get verified faster and is verified compared to talented black people. The algorithm is also prejudice. I feel as though black creators should stop supporting an app that is blatantly prejudice. It comes of as underhand racist.,1,0,,10/1/2020 23:05,,,com.zhiliaoapp.musically
gp:AOqpTOG2gmknOS3KFhu7uSohAwirdq_XWUfG9hA17W4sQhbNXC8xFV7LCYRKH3kGH8L6hemOgKDF4wt7XIzoVA,Dashing Ejaz,Need team management,1,0,17.6.41,10/1/2020 23:04,,,com.zhiliaoapp.musically
gp:AOqpTOGu0xSGBL3_-8Vjc447UH6txzFP75WxkQ_lo97wI6vvrsLWvgYRo8M_zSE1jzcfj-KIA3l7WB68VJLSvQ,mom3boys_1girl mom3boys_girl,What is the deal? 'search' doesn't work Only seeing things from young foreign kids that I don't understand....,1,0,17.6.41,10/1/2020 23:02,,,com.zhiliaoapp.musically
gp:AOqpTOGlOAMkjRs2An9lvptf0L_qzXq1A3sS8uysq4QqAEhVzuyjTbQjuWt7IQkiNqiMfyM1Iyg6VG3Y41FTdQ,Angelica Vargas,"One word, TRASH.",1,0,17.6.41,10/1/2020 22:57,,,com.zhiliaoapp.musically
gp:AOqpTOGJGEJwnsXNe-Wp0XtbEH5ceYF5Tlx8bvKAytf5SVABy-DU2BxBsyI12x97xGm57EEzXeRfx-eYICiqHg,Clarissa V,I used to be able to use the app without logging in. Now it's forcing me to sign up with an account. I don't want to do that as I just want to browse videos.,1,0,,10/1/2020 22:55,,,com.zhiliaoapp.musically
