reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
gp:AOqpTOH6zYAbtGqeRb0tYZ7M8HFvwfW7jGG3Hdf7Fc38l9xvmjZ2cRL2MGKn2tBz_tWw9OoXpLRO4skSl78B9cg,Damini chandra,"So finally the iasue is resolved after te last update. We need to unustall the app and then install again to get this fix work, Only updating the app din't worked for me. Below is the my previous review/complaint: Ever since i have updated the app today, i am not able to use it for more than a minute. Everytime the screen goes black and i am out of the chat/group chat. My typed mesaage also disappears. What is this whatapp?!! When is this issue going to resolve???!!! Can't use whatsapp anymore.",1,17,2.16.225,10/2/2020 4:04,,,com.whatsapp
gp:AOqpTOHKIO-IIqGnAHXYIfbStlr_dm1XODfcqDwKTt33eKatkIvY4UUO0pGajKCR2_D-fY6fQu7P2qNhRcEvS1s,Jane Eke Utari,Why does WhatsApp keep freezing? This is so annoying considering that I've got work there,1,0,2.20.194.16,10/2/2020 4:04,,,com.whatsapp
gp:AOqpTOH6pBIeNijtWRGLjbLWRY0zRv-wGk7_9Z73-rcRFF5vDmC1mTQeXTqoKL1CaU2w8BcNJkPtakRUgAzG5vQ,Imtiaz Ali,Bad application so no more stars,1,0,2.20.108,10/2/2020 4:00,,,com.whatsapp
gp:AOqpTOF3a5CLqDRcBcS8K9zYVD-6GdWmScXnyNHRarBvyX7sY4yQBBsDuE-equ1tdNF2OgS47u3SEglWHaAQ-Rs,pure bundelkhandi,Download hi ni ho rhaðŸ˜‘,1,0,,10/2/2020 3:57,,,com.whatsapp
gp:AOqpTOGwI5ToQJSxMwBDh1ijutNiwy0pHz2awguELgsHOZkMpkxIbzAmwLzf39-P7PtzOTAyDQ5CohfFJiAcQgA,praseetha kc,à´†à´£àµ,1,0,2.20.108,10/2/2020 3:56,,,com.whatsapp
gp:AOqpTOG7zXP6R4ddQr86ByLAttmEpaSQq-KP26hmkIq2UQCm9ESIKUpqvZQeA4XQhfIXddzsC4OviMqT7FoaTaw,Rakesh Kumar,à¤°à¤¾à¤•à¥‡à¤¶,1,0,2.20.108,10/2/2020 3:56,,,com.whatsapp
gp:AOqpTOGtIToNZf6cSuHkHgDWhLEZpZ0FQfgBwMhxcWNZmFYK6xIssOgCIaAisRKnAzp363f_lu2sgzpF8IT3zA4,Md Siraj,Slj a,1,0,,10/2/2020 3:55,,,com.whatsapp
gp:AOqpTOHmR1pizVXqslzNWTxFJdnE0321vgsPizVbS0Eh-H_3YoydbwC4ofzfV6Ju3eaz6SKu_pPV6mO-oT82LMk,Dj Alok,Bekar app,1,0,,10/2/2020 3:55,,,com.whatsapp
gp:AOqpTOHeZckKAPGvqjVCGOSJqaS363qW5LXYu5JjzdoH4Kf_bY8k2UzdSLSEUIJ2v6gdIAxfxMOtnHOtkZidcTE,Pawan Kumar,I'm confused,1,0,2.20.199.14,10/2/2020 3:52,,,com.whatsapp
gp:AOqpTOHaTFmCST4wteCkF5FRhxqGQhO3SJJM5PleKGS-ZqcIENBPuv1CKQemmlnr_Ewgc4MUNE6nHAKK--5CnpI,Tanveer Mourya,NiceðŸ‘ and useful,1,0,2.20.140,10/2/2020 3:50,,,com.whatsapp
gp:AOqpTOGppkPMB1p25swlMKwgpLeQYaMmV5HUjXT9xD_C8gKmBkJB0oGO7dREasbTfN18W-CVCo3NMFFutryFcnE,Manisha Tivari,Mahima tiwari,1,0,,10/2/2020 3:49,,,com.whatsapp
gp:AOqpTOGWaODjc9SZ7mgtIRJEz6y9Qby1Xj3Yfhab2PqkIsZB1ug3sedMZaSx8yvhDyJJB6tBt8I6wuhHzXOvj1U,Akhilesh Singh,Thakur satyam singh,1,0,2.20.108,10/2/2020 3:48,,,com.whatsapp
gp:AOqpTOFgycXKw3qnFpQGPnm4xHI7QlAOVAPCWY16UhkUjiX1RHXHJgbxgwBNDuvTLTBOmpvnVU3M6d8VBVE4cLo,Rammanohar Tiwari,Poor,1,0,2.20.195.15,10/2/2020 3:45,,,com.whatsapp
gp:AOqpTOEO59vNSXOVZSR3_W5025sEiZMhMHucwb5ac3U33tIq-QrznqfisyHXlHfZNaBcFrCj_2sRUmeZW7n4qo8,Lacretia Watson Gilliam,"This is horrible, since the update it won't last load properly. It's giving me issues I've not ever had before while using whatsapp",1,0,,10/2/2020 3:43,,,com.whatsapp
gp:AOqpTOHP1CKN9eBRnR76kpYE_F2ppZltCZPtr47Eebtv_xrisewsK6AAvBbpb68WOJax_jo_yXfALT7Tss5cx3I,Manjappa N,Saamy,1,0,2.20.108,10/2/2020 3:39,,,com.whatsapp
gp:AOqpTOEvsE6KrTWz99iuzouX5YtQI708_U65wNbAbbG6FeLn84m83TSgdqgHY5Sm8oMNqYI4V5R9txoICBsWVPg,Shan Shaheem PV,"Found a new bug. In status session, while you watching any status and closes it by swiping down, next or previous status is shown instead of closing. I talked with my friend and he too said the same problem. We both are using same phone brand(Realme 3 Pro). First I thought it's problem with my phone then same issue is reported by my friend. So please fix that bug. Thank you",1,0,2.20.200.22,10/2/2020 3:35,,,com.whatsapp
gp:AOqpTOFbmZjvHo6yZk9dJu3M7GL2EQhYde3o8xVciB05O71FWzNLjbbyatOv-Xjnw77W29Q2LjGqYTajMo5mgJw,Rani Mishra,bad app,1,0,2.20.108,10/2/2020 3:30,,,com.whatsapp
gp:AOqpTOHwt_Z0z1OVNF3XjrW5PwEEU7F3YPP0XV6kExgWzZA_wOS0CdTnINUoj6UQE-eqs6c3txfs4djpuYu3uQo,p.manjunath Pradhan,Good,1,0,2.20.108,10/2/2020 3:30,,,com.whatsapp
gp:AOqpTOHlE8YfXUEacit5WdCv-ObjCxtsR8wxA3D0CmzviA7FjWxx9EvO-SBHWN368-vfC-i1Z3HFNJz-TXfnogo,P Rani,Rame,1,0,2.19.360,10/2/2020 3:24,,,com.whatsapp
gp:AOqpTOFx8PoZyry9-fbV7XoSihposdumiLENapcRnBPEK1I5fzFklRBAatHz6QU-17oofRZa6G6YStieTUtElCk,GNYANESHWAR SANGAM,Good,1,0,2.20.47,10/2/2020 3:20,,,com.whatsapp
gp:AOqpTOEOXfGU_R_O6vgbKtFwgrmbwXZLlxT2sdOgPCriFdmdUObOBWD8Tc1Yb8shDfdJB_jHTDVaeR9ggImYGVA,Rambharat Yadav,Whatsapp is good comunicator for me.....,1,0,,10/2/2020 3:16,,,com.whatsapp
gp:AOqpTOFCn_ZygPzYZtfX67qBZwnTkMrhA0jtmMiRlPGnUINDAJ46uqL4tmspuf1S32PtmQfiI0zjgYhuF0yjHts,Sandeep Kumar,amazing,1,0,2.20.108,10/2/2020 3:15,,,com.whatsapp
gp:AOqpTOHph69SKDqMNb70ZWOkjf12ZYzbJMehZ4D8u6dnKxA3WPXIRwm827Lad4L5Li0smXU1JW9wCj8QE4Ciw-I,Angie Dewi,I can't open my WhatsApp since yesterday 30 Sept 2020 ðŸ™ It's automatically ask me to download the new version (I don't think I need it) and until now keep downloading ..... Why ? What happen ? Until when I've to wait until I can open my WhatsApp again ?,1,0,2.20.200.20,10/2/2020 3:14,,,com.whatsapp
gp:AOqpTOEppLN1qeBOvWK50YmA9btgykyJh9A6NevjIimCUe5-mp6lV0-vgRdMZLW-UbojjyxI0SVLz0FDmbDOqS8,Swati Batta,Kk,1,0,2.20.199.14,10/2/2020 3:12,,,com.whatsapp
gp:AOqpTOHj5b0t76iXxfyVjbjxFRs3Lvo49AMW3T2Q6Ii5kRKMOijsIZgdT-ORSxpblBTKqEKSmtCvpVXE-WKZ8F0,shaheen choudhary,Aae,1,0,2.20.108,10/2/2020 3:11,,,com.whatsapp
gp:AOqpTOFOeHktKIlTtZESVm8KV1ZQ28Vhr_t5-7XWG9z-4jzE29NQ8olBT8DxvbzSD6H6OxPZV7DoqjktxaD1xwk,Seeni Mohd,ã€‚ã€‚,1,0,2.20.108,10/2/2020 3:11,,,com.whatsapp
